agency_cd,site_no,datetime,116034_72019_00003,116034_72019_00003_cd
USGS,452033122195901,2002-12-29,64.79,A
USGS,452033122195901,2002-12-30,64.73,A
USGS,452033122195901,2002-12-31,64.94,A
USGS,452033122195901,2003-01-01,65.11,A
USGS,452033122195901,2003-01-02,64.91,A
USGS,452033122195901,2003-01-03,65.05,A
USGS,452033122195901,2003-01-04,65.03,A
USGS,452033122195901,2003-01-05,65.41,A
USGS,452033122195901,2003-01-06,65.15,A
USGS,452033122195901,2003-01-07,65.11,A
USGS,452033122195901,2003-01-08,64.94,A
USGS,452033122195901,2003-01-09,64.86,A
USGS,452033122195901,2003-01-10,64.84,A
USGS,452033122195901,2003-01-11,64.84,A
USGS,452033122195901,2003-01-12,64.96,A
USGS,452033122195901,2003-01-13,65.12,A
USGS,452033122195901,2003-01-14,65.25,A
USGS,452033122195901,2003-01-15,65.35,A
USGS,452033122195901,2003-01-16,65.31,A
USGS,452033122195901,2003-01-17,65.16,A
USGS,452033122195901,2003-01-18,65.04,A
USGS,452033122195901,2003-01-19,65.0,A
USGS,452033122195901,2003-01-20,64.96,A
USGS,452033122195901,2003-01-21,64.89,A
USGS,452033122195901,2003-01-22,64.84,A
USGS,452033122195901,2003-01-23,65.14,A
USGS,452033122195901,2003-01-24,65.09,A
USGS,452033122195901,2003-01-25,65.15,A
USGS,452033122195901,2003-01-26,65.05,A
USGS,452033122195901,2003-01-27,65.09,A
USGS,452033122195901,2003-01-28,65.17,A
USGS,452033122195901,2003-01-29,65.06,A
USGS,452033122195901,2003-01-30,65.01,A
USGS,452033122195901,2003-01-31,64.93,A
USGS,452033122195901,2003-02-01,65.07,A
USGS,452033122195901,2003-02-02,65.26,A
USGS,452033122195901,2003-02-03,65.26,A
USGS,452033122195901,2003-02-04,65.23,A
USGS,452033122195901,2003-02-05,65.12,A
USGS,452033122195901,2003-02-06,65.14,A
USGS,452033122195901,2003-02-07,65.02,A
USGS,452033122195901,2003-02-08,64.98,A
